gene_id,F1_1_1,F1_2_1,F1_3_1,F5_1_1,F5_2_1,F5_3_1,anno_chr,anno_start,anno_end
trh,2695,2288,2726,2272,2539,1818,chr8,54220549,54223316
ssx2ipa,724,727,872,667,362,239,chr2,1988108,2008456
lgsn,4,32,12,8,0,8,chr11,11263451,11266878
rhobtb4,1974,1698,2461,1680,172,1543,chr5,43427891,43509101
slc2a2,0,8,0,0,0,0,chr2,25816903,25837957
tshba,0,0,5,0,0,0,chr6,49081177,49085296
ogfr,1009,463,1154,597,377,308,chr23,578201,588250
zgc:110319,69,23,59,53,124,23,chr13|chr13_KZ115412v1_alt,18354670|300931,18359596|305857
tor1l3,12,0,16,12,0,0,chr23,37566093,37575030
tor1l1,0,0,0,0,0,0,chr23,37530718,37536127
cep72,269,70,298,299,192,200,chr16,52847079,52864785
lmf2b,281,414,306,273,158,141,chr4|chr4_KZ115087v1_alt,9478503|29594,9502846|53937
lmf2a,146,229,277,158,197,115,chr18,6706140,6727914
soga3a,2650,2438,3216,1610,1015,1646,chr16,5201827,5231414
gstt1b,179,23,4,42,0,54,chr21_KZ115619v1_alt,17216,24565
gstt1a,28,0,2,68,0,6,chr8_KZ115269v1_alt|chr8,34379|30787613,37885|30791119
enkur,176,132,147,175,74,141,chr24,6673201,6678463
gsna,38,41,76,59,25,19,chr21|chr21_KZ114972v1_alt|chr21_KZ115622v1_alt,17572325|62396|291579,17603175|93246|322429
gsnb,12,41,19,300,0,5,chr5,63294865,63302916
tdh,2059,1570,2319,3348,728,1043,chr20,18993452,18998022
slco2b1,67,56,33,57,9,4,chr21,40140515,40174676
tmem237b,448,496,575,339,271,481,chr6,9898683,9916534
tmem237a,9,12,6,15,9,24,chr9_KZ115280v1_alt|chr9,444929|13714396,459470|13728937
smn1,1115,1161,1040,782,994,786,chr5,43798348,43805610
oip5,25,64,46,8,31,20,chr13,33256847,33259799
rcc1l,2796,1186,2816,1170,1253,830,chr5,61404497,61431786
lpin1,722,460,1177,367,287,252,chr17,30450231,30468515
srfbp1,1318,656,1128,911,840,1240,chr19,29297297,29303788
cldn10b,19,24,90,38,0,24,chr9,156142,159437
cldn10a,0,0,0,0,0,0,chr6,7299294,7305986
itgb3a,0,4,24,0,0,0,chr3,19621034,19649537
retreg2,570,279,931,452,143,117,chr1,6189956,6210718
plekha5,10395,9496,11427,5850,4031,5088,chr4,2948063,3145359
si:ch211-195h23.3,54,202,406,195,168,164,chr2,43920459,43956016
arl15a,3,3,0,3,0,0,chr5_KZ115138v1_alt|chr5,122709|40299801,294269|40469210
slc25a32a,3540,4753,5082,3289,2233,3455,chr19,12937069,12965020
slc25a32b,396,225,336,175,69,96,chr16,47428735,47449997
plekha3,2405,1508,2376,1706,853,1062,chr11,29756860,29768010
ranbp10,126,273,661,166,27,55,chr18,21951585,22020128
plekha8,163,101,290,207,41,48,chr16,20267814,20294234
pimr140,0,49,12,10,22,30,chr2,19559047,19563419
slc20a2,315,206,384,290,142,113,chr8,29774879,29851636
wdr55,162,189,181,190,40,158,chr21,34814931,34835266
wdr54,562,497,516,401,178,260,chr5,43072953,43083481
cnn2,212,175,260,223,73,64,chr2,24548252,24554323
eif2b4,5909,7662,7519,5825,3093,4373,chr20,19516658,19532536
eif2b5,1390,868,1411,953,630,571,chr2,2904080,2917145
eif2b2,14,14,18,10,8,0,chr20|chr20_KZ115614v1_alt,46523078|244570,46534127|255619
atraid,288,224,273,243,104,153,chr20,19512727,19516631
eif2b1,7,0,6,2,16,9,chr5_KZ115159v1_alt|chr5,19227|69641168,27032|69648973
cox18,1663,1407,1983,681,1107,651,chr14,52356921,52366960
cox19,79,32,67,16,28,14,chr24,12747378,12749116
hnrnpa0a,3329,3372,3099,2156,1568,1605,chr14,24277556,24279964
cox10,359,332,372,232,164,170,chr12,36891483,36960525
cox11,42,77,119,30,23,75,chr12|chr12_KZ115390v1_alt,32068294|309666,32073552|314924
admp,4,68,25,0,48,32,chr2,53484901,53500926
cox15,1317,800,554,5,408,80,chr13,713941,724386
gmpr,235,283,276,92,11,99,chr19,32472996,32487275
gmps,1302,1518,1922,1775,471,805,chr18,34181475,34215055
si:ch211-262i1.6,56,56,47,36,14,36,chr11|chr11_KZ115343v1_alt,14343438|253799,14346112|256473
cwc25,3185,3165,2695,2161,2160,2683,chr2,5709424,5723788
ppp2r3c,613,651,503,518,192,603,chr17,13007307,13019636
rpap2,172,202,389,364,53,207,chr2,10790875,10821053
rpap3,2414,4946,3092,2341,2122,1782,chr4,966061,983242
syn2b,14624,15431,15769,11607,6024,8534,chr11,674592,762721
ppp6c,2444,2031,3218,1701,1212,1141,chr5,31983106,31995401
cth,862,817,909,700,462,292,chr6,37409558,37422947
cx36.7,28,32,0,0,5,16,chr7,12835048,12836225
crygm2a,0,0,0,0,0,0,chr9,22075528,22076368
sox8b,52,33,91,91,64,23,chr3,62397641,62403488
spg21,547,849,666,668,345,511,chr7,13625929,13648636
cd82b,225,124,115,239,32,99,chr18,27571466,27626391
pth3r,0,0,0,0,0,0,chr12,9257457,9294806
ca8,1736,1227,2003,1348,306,641,chr2,21854916,21878527
elavl1b,1490,1150,1462,1196,636,1055,chr11,14955485,15001702
klhl24a,50,0,29,62,0,0,chr2,44571200,44604455
elavl1a,1513,1091,1777,1225,575,640,chr2,37124451,37134138
znf668,306,186,338,207,155,180,chr12|chr12_KZ115386v1_alt,28956374|41367,28960631|45624
mhc1lja,0,0,0,0,0,0,chr25,10913748,10918316
crygm2b,0,0,0,0,0,0,chr9,22068412,22069351
zgc:153846,0,0,0,0,0,0,chr9,22017380,22018303
ldah,259,263,224,101,118,45,chr17,30749251,30817076
fkrp,429,376,603,188,60,191,chr15,11679756,11683529
kncn,0,0,0,0,0,0,chr2,19119847,19128385
fam219ab,885,360,1033,623,68,444,chr5,26082446,26093946
fam219aa,66,65,62,119,62,31,chr21,13093138,13123138
ddx51,803,1758,1362,1175,871,914,chr8,49065348,49089371
ptprdb,684,432,927,346,96,159,chr1,19123610,19233890
slc5a8l,0,12,10,0,0,5,chr6_KZ115205v1_alt,164684,179107
thsd7aa,401,241,550,302,518,283,chr19,37620342,37842003
cacng4b,28,0,23,17,0,15,chr3,61077532,61098950
si:dkey-228a15.1,43,31,46,54,24,17,chr19,42559143,42566526
nexn,544,687,1476,1463,457,1256,chr8,18517575,18537888
tubb4b,34078,31134,35807,29395,20282,19137,chr14,5861457,5865146
ufsp2,1500,683,1428,907,577,815,chr1_KZ115008v1_alt,48937,60105
hoxb2a,4,40,8,41,0,0,chr3,23752150,23754829
gdf9,0,0,0,0,0,0,chr14,22457243,22464174
scpp8,0,0,0,0,0,0,chr10,15107975,15110497
tmem41aa,376,222,315,303,43,202,chr9,12444494,12455521
rasl12,67,0,34,144,0,8,chr7,13756374,13782281
zgc:162592,0,0,0,0,0,0,chr7,67699178,67706336
gdf3,1756,5197,5099,1263,1378,2167,chr17,4239445,4245304
cbr4,574,476,542,393,398,291,chr20,23650832,23657304
scpp1,5,0,0,0,0,0,chr1,37380662,37383491
zgc:173594,105,713,35,6734,2499,1058,chr3,32139538,32141083
pygmb,6389,4718,8301,5262,1907,5290,chr7,22823889,22852174
scyl3,1995,2634,2283,1460,974,1178,chr20,34012951,34028969
myh11a,389,472,645,709,216,292,chr6,8499865,8580858
pygma,2,0,0,33,0,0,chr21,28445052,28472239
bcl6ab,496,496,537,640,241,224,chr2,10087335,10098191
bcl6aa,18,36,323,86,60,115,chr6_KZ114880v1_alt|chr6|chr6_KZ115752v1_alt|chr6_KZ115182v1_alt,178982|28216487|175645|173459,185033|28222538|181681|179500
nppal,123,9,61,183,0,42,chr8,48603436,48604059
zgc:161969,764,604,1001,865,577,835,chr6,16468776,16475881
fam184b,7424,7717,10626,5001,6057,9810,chr1,23506632,23557877
anxa13l,708,705,928,783,182,556,chr2,9821786,9841846
eif1axb,3914,2358,2743,2732,1751,1960,chr24,24164227,24168473
akap1b,1454,1026,1515,862,525,438,chr15,30840393,30857350
mrrf,13,0,12,2,13,9,chr10_KZ115307v1_alt|chr10,92473|9305050,133716|9346293
top1mt,172,265,424,111,203,224,chr24,42004609,42018360
tipin,109,103,167,114,109,160,chr7,34236269,34240903
cks1b,177,92,88,67,65,68,chr19,7835025,7838232
itgb3b,0,0,0,32,0,0,chr12,26436104,26461741
zgc:86609,51,0,138,157,53,112,chr8,8686127,8698613
si:ch211-272h9.3,0,9,0,0,0,0,chr7,5007310,5012639
si:dkey-190g11.3,10,18,38,15,0,12,chr8_KZ114895v1_alt|chr8,339411|17069577,345232|17075398
plpp2b,6,14,6,18,0,8,chr22_KZ115641v1_alt,255723,297995
tiparp,2196,2028,3231,2071,1100,1333,chr18,34599315,34642086
slc4a11,85,150,143,46,29,38,chr13,13771092,13922551
crygm2c,0,0,0,0,0,0,chr9,22022105,22023048
svopl,4,0,28,16,0,0,chr4,9769046,9781132
si:ch211-133l5.7,0,0,0,0,0,0,chr8_KZ115256v1_alt|chr8,354876|20832978,360240|20838342
seh1l,793,595,757,702,271,320,chr19,12406583,12429256
btf3,8559,6567,8461,8091,4477,4992,chr5,34987451,34997630
kpnb3,3119,2401,2973,2435,893,965,chr1,2260447,2298632
eva1ba,24,20,8,4,0,0,chr16,35944692,35975137
kpnb1,10554,10629,12841,7997,6250,6498,chr19,48024457,48037723
irf2bp1,1653,1013,1495,928,585,434,chr18,46362659,46369675
qtrt2,225,283,213,126,0,59,chr24,21059680,21090517
kcnh6a,255,196,558,246,130,105,chr3,31728872,31783737
qtrt1,586,711,529,472,313,460,chr3,47114326,47128096
cacna2d2a,466,773,1371,316,229,555,chr6,53450557,53910907
pawr,204,180,250,468,190,323,chr4,21322986,21466825
tie1,66,4,48,121,30,73,chr6,33981496,34008827
rack1,31743,23692,29295,33748,25321,20301,chr14,6946681,6953673
bcap31,402,198,360,181,87,67,chr8,8973425,9029176
cacna2d2b,2179,1947,4893,1161,257,419,chr22,9472814,9513059
slc17a8,17,20,46,4,29,0,chr18,15616167,15635407
dnajc28,411,357,395,314,201,249,chr9_KZ115298v1_alt|chr9,230069|35872699,232421|35875051
robo1,2191,2336,2953,1776,1155,868,chr15,39277653,39819928
slc17a5,160,80,154,32,103,30,chr13,27298714,27313556
dnajc25,23,18,46,22,0,0,chr5,69950880,69960001
robo2,3059,2868,3721,2146,1446,1945,chr15,38859648,39228226
dnajc21,431,449,462,568,313,310,chr21,11179912,11199366
nfkbib,712,341,605,547,70,257,chr5,37032038,37036929
pax1a,0,0,0,0,0,0,chr17,42274838,42278349
dtnbp1a,12705,13516,13799,8202,5962,6398,chr16,25504109,25535175
mrps2,1713,1166,1729,1032,689,1006,chr21,7121942,7128064
samd1a,1250,1104,1530,844,708,954,chr3,49425791,49447949
zhx3,1067,1154,1671,1533,532,604,chr23,2876940,2880191
si:dkey-189g17.2,0,0,20,0,0,0,chr9,22657323,22672401
piga,219,270,564,480,112,153,chr9,30374889,30385059
pigb,588,552,407,519,266,294,chr18,2204182,2222214
pigc,521,545,415,419,152,317,chr20,14810914,14815494
pigf,688,851,756,505,257,296,chr12,25097806,25110971
pigh,32,0,22,5,38,0,chr20,28401532,28404362
pigk,78,49,71,82,35,54,chr2,9061885,9138497
pigl,281,105,203,96,0,106,chr5,41996897,42054071
pigm,642,958,738,456,380,386,chr24,42102204,42108655
pign,159,222,465,135,70,58,chr24,23687411,23716097
cd37,15,0,0,0,0,0,chr12|chr12_KZ115386v1_alt,28971580|56573,28983584|68577
slc4a1a,104,69,143,1648,52,80,chr3,20065861,20091955
pigq,414,195,511,104,188,128,chr3,26792546,26805452
pigr,27,50,3,28,0,26,chr2,51614252,51634431
slc4a1b,0,0,0,0,0,0,chr12,10053852,10100267
npy,370,823,1126,507,259,541,chr19,20111746,20114010
map2k4a,155,90,170,93,0,49,chr3,10592711,10634488
pigv,65,45,33,31,0,8,chr16,33987892,33990724
pigw,84,52,92,53,36,0,chr5,4006833,4011049
pigx,625,738,624,472,356,505,chr22,2931341,2937503
kctd7,1605,876,1449,898,419,456,chr10,32881592,32890617
pcdh2g3,0,0,0,4,5,0,chr14,1889679,2081083
he1.1,0,0,0,0,0,0,chr22,14093306,14094751
ambra1b,476,288,676,174,4,115,chr25,7891575,7918465
atp2a1l,0,0,0,179,0,0,chr12,13244426,13261733
si:ch211-251f6.7,0,30,0,9,24,18,chr10,8051996,8053372
g6fl,0,0,0,0,0,0,chr16,10522596,10547781
crppa,1144,1363,1150,1074,592,850,chr15,34495056,34568705
ephb3a,7105,7866,9822,5366,3427,4844,chr2,7923964,8017585
si:ch211-51e12.7,5314,4842,3980,3699,2851,2570,chr4,308672,317600
abhd6b,0,0,13,0,0,0,chr23,19655301,19667763
phox2ba,6,9,12,20,5,7,chr1,19074326,19079957
fahd1,577,625,459,243,341,174,chr3,18795581,18796553
adgrl4,76,88,43,107,0,22,chr11,7383213,7410314
foxf1,0,0,0,0,0,0,chr18,30847237,30851101
marveld2b,0,20,36,17,20,8,chr5,26204561,26211846
zgc:162730,840,927,607,1825,320,358,chr15,13984879,13986763
robo3,19474,24032,15520,10339,2581,10949,chr10,31300589,31563049
kcnk10a,273,169,295,172,120,184,chr20,10166702,10221250
gspt1l,4905,3807,5198,4828,2168,2508,chr3,36646170,36664310
lyrm5a,164,66,76,111,95,62,chr4,5848229,5850631
si:ch1073-126c3.2,4,0,4,0,0,0,chr13,20535159,20540790
tlx3b,517,310,390,595,67,404,chr10_KZ115319v1_alt,343929,349746
ndufv2,4007,4149,3934,3663,2247,2454,chr2,54641775,54690247
rxrga,76,16,24,80,0,19,chr2,20725684,20776841
zgc:194246,0,0,0,0,0,0,chr14_KZ115456v1_alt|chr14|chr14_KZ114942v1_alt,14876|34512011|14876,15968|34513103|15968
twsg1b,27,0,4,0,0,0,chrUn_KN150650v1,970,3012
zgc:194242,0,0,0,0,0,0,chr23,5108374,5112998
rcor3,168,20,359,68,49,12,chr22,38276089,38294242
rcor2,895,779,889,603,416,554,chr7,24979833,24994502
rcor1,1113,831,965,937,584,892,chr17,29251662,29271135
arpp19a,1661,1538,1525,848,1321,578,chr18,38885309,38897664
vcam1b,422,601,520,480,211,304,chr22_KZ114975v1_alt|chr22,263135|16171000,272089|16179954
apln,2150,1827,2762,2248,911,1411,chr14,33722950,33757714
mamdc2a,14,18,107,28,0,32,chr5,52509108,52569014
ppp1cb,11071,6922,10564,6435,2731,4428,chr17,25635953,25649077
smyd2b,71,55,83,62,13,51,chr20,572156,590012
smyd2a,3992,3863,4634,3090,1286,1997,chr17,32745822,32779439
iars1,1524,1931,1623,1583,1427,515,chr11,1337620,1392468
iars2,3630,1740,3356,1658,1299,1348,chr17,25590133,25606252
mark3a,4520,3434,3928,3173,1641,1855,chr13,15580815,15668714
spon2b,20,0,177,68,152,70,chr14,17376968,17382249
spon2a,0,0,3,0,0,0,chr14,21861099,21900471
zgc:56409,304,349,285,267,243,209,chr1,9873310,9885324
cyp2x8,0,0,0,0,0,0,chr25,17388661,17395315
pdha1a,731,650,726,463,392,439,chr5_KZ115112v1_alt|chr5,37047|24031316,50455|24044724
pdha1b,5,4,46,9,63,11,chr24|chr24_KZ115713v1_alt,24273449|308213,24281806|316570
cyp2x6,0,0,0,0,0,0,chr25,17360851,17367578
cyp2x7,0,0,0,26,0,0,chr25,17372152,17378833
zgc:136908,463,456,418,411,376,259,chr1,55787036,55810599
pccb,1375,931,1241,1097,429,811,chr2,25108578,25120017
adcy3a,518,432,695,366,25,282,chr16,2515198,2558653
dtnbp1b,1293,1530,1671,960,1150,1169,chr19,26161514,26235220
ptrhd1,180,249,152,175,124,95,chr20,36797979,36799981
si:ch1073-67j19.2,0,0,0,8,0,0,chr4,7822788,7825254
nagk,456,134,336,278,0,176,chr7,59203349,59210882
sec22bb,1376,1031,1053,936,549,744,chr8,19504011,19512271
nkrf,2735,3274,3212,2032,1065,1049,chr14,32852387,32859133
creb3l1,102,162,105,24,0,14,chr7,38897971,38954874
or111-10,0,0,0,0,0,0,chr15,31412595,31414017
or111-11,0,0,0,0,0,0,chr15,31417886,31419794
glyr1,1152,794,1258,822,406,556,chr3,36442044,36458165
cflara,128,37,34,246,12,38,chr11,30332959,30341431
cyt1l,19,0,0,4,0,16,chr19,5356421,5358430
bzw2,1149,781,1383,804,730,717,chr19,31009696,31042597
zdhhc5a,2151,1947,2650,1971,689,1556,chr1,44540293,44566433
vwa8,366,324,497,354,114,331,chr9,17540751,17783420
tspan11,34,0,66,58,0,7,chr4,11173094,11197821
zgc:101679,1143,1521,1487,1291,905,902,chr1,45332629,45341793
tspan14,2,3,14,5,4,10,chr13|chr13_KZ115418v1_alt,21638455|415283,21650374|427202
tspan15,16,0,3,1,0,29,chr13_KZ115421v1_alt,386219,421293
tspan17,140,120,163,102,128,110,chr14,49683767,49761976
pcdh2g6,13,26,32,22,0,0,chr14,1889679,2073488
ssu72,2868,2656,2312,2244,1593,1585,chr22,359273,367569
pogza,409,376,615,381,84,282,chr19,42432625,42456001
waslb,783,688,903,831,418,516,chr4,4079468,4111765
pogzb,725,527,891,592,178,358,chr16,38119112,38136642
cct6a,7957,6105,7875,7571,4946,4697,chr21,41820360,41838265
kirrel3l,994,1153,1395,717,439,570,chr15,36941491,37017331
dennd4a,2553,1510,3049,980,1102,767,chr18,19045126,19095141
zgc:110789,25,4,4,6,0,0,chr18|chr18_KZ115546v1_alt,12034985|200575,12052132|217722
upp2,0,0,0,8,0,0,chr9,16097812,16108999
ddx58,14,42,30,45,0,11,chrUn_KN149959v1,44304,57421
si:dkey-69o16.5,245,293,150,164,88,128,chr9,11587660,11595736
npl,470,272,440,379,204,116,chr8,19489959,19500063
ddx52,978,741,744,495,495,806,chr21,38855551,38869404
zgc:110782,44,51,156,144,144,101,chr21,27192770,27195301
ddx56,872,712,1318,863,669,837,chr10,2856377,2875733
ddx54,1285,1122,1310,1053,561,574,chr5,72194489,72205843
ddx55,768,973,1109,587,233,592,chr10,3397871,3416228
rimkla,3307,1702,701,3006,864,1873,chr8,26868105,26887314
npc2,412,288,429,574,211,286,chr17,43030321,43031807
trip12,4667,3445,6422,4198,1351,2286,chr18,41250938,41310976
zgc:171699,0,4,4,0,0,0,chr22,6407445,6424296
nrros,8,0,0,3,0,0,chr24_KZ115717v1_alt,80046,88344
si:ch73-359m17.9,0,0,0,5,0,0,chr19,48308746,48312027
zgc:171695,0,12,41,126,0,40,chr7,2978743,3011514
gabrr2a,40,32,24,12,0,28,chr17,15845765,15892618
tob1a,14193,11163,14569,7275,3887,4327,chr3,18185616,18189196
tob1b,22513,15818,18110,12616,5566,7872,chr12,847188,850369
qars1,157,144,67,140,76,95,chr8,46353336,46386060
anpepb,25,43,0,32,0,0,chr25,10811552,10827771
si:ch211-81a5.5,14,0,0,0,16,12,chr19,9091677,9107061
tmem110l,56,40,52,24,0,20,chr4,25251857,25271455
si:dkey-183n20.15,89,72,43,55,65,38,chr20,25473056,25481306
ms4a17a.9,10,12,40,8,0,5,chr4,76608795,76632637
ms4a17a.8,0,0,0,0,0,0,chr4,76637548,76655373
prg4b,37,66,14,14,0,35,chr20,34029810,34039634
uqcrh,6020,5361,5681,4933,3213,3880,chr6,3509036,3514753
tent2,286,363,281,453,165,357,chr5,51833346,51847888
actr10,2864,1778,3292,2077,1330,1413,chr20,54274431,54286860
ms4a17a.1,0,0,0,0,0,0,chr4,76692834,76701250
ms4a17a.3,0,13,0,0,0,0,chr4,76722741,76728539
ms4a17a.2,0,0,0,0,0,0,chr4,76670976,76689093
ms4a17a.5,0,0,0,0,0,0,chr4,76659013,76667230
ms4a17a.4,0,0,0,0,0,0,chr4,76752707,76762433
ms4a17a.7,0,0,0,0,0,0,chr4,76705830,76718322
ms4a17a.6,0,0,0,12,0,0,chr4,76735113,76742477
pcdh18b,587,515,1044,243,448,340,chr14_KZ115466v1_alt|chr14,174892|42172501,182224|42179348
pcdh18a,2088,2371,3519,1328,878,1177,chr1,13261121,13271085
cirbpa,12302,11816,13181,14722,5251,14734,chr2,58841181,58848886
wdcp,341,396,426,353,60,240,chr20,44498044,44508396
pcdh2g29,110,358,230,216,491,113,chr14,1889679,1955257
xrn2,5203,3919,5312,2883,2724,2889,chr20,48810496,48898560
pdcd4b,188,219,263,189,25,110,chr22|chr22_KZ115655v1_alt,29658983|223058,29689493|253568
pdcd4a,1959,1310,2358,1310,397,727,chr1,26046148,26062798
npb,1114,1657,1526,548,425,668,chr22,11535131,11537654
ankib1a,191,101,175,43,64,55,chr19,43905671,43960448
mki67,389,379,311,408,48,124,chr12,10367835,10381070
pigp,846,550,1286,604,412,522,chr10,110879,116036
zgc:92107,4165,2182,3488,2202,814,1419,chr11|chr11_KZ115358v1_alt,24994792|180519,25041804|231063
efnb2a,42,36,123,17,0,3,chr9,26103814,26123706
efnb2b,238,315,275,275,124,147,chr1,7634516,7659569
adrb1,1472,911,1315,397,95,50,chr12,30442342,30443562
ces3,10,0,0,12,0,9,chr18,17418270,17426311
pigs,650,674,810,624,234,226,chr21,39583456,39604549
nhp2,345,213,551,360,116,146,chr21,30401780,30408763
copb1,108,173,122,199,88,108,chr7_KZ115229v1_alt|chr7,21890|27802523,39585|27820218
copb2,119,164,144,100,148,145,chr2_KZ115044v1_alt|chr2,343948|38997357,361665|39015074
hbbe1.3,0,0,0,0,0,12,chr3,55131289,55132276
hbbe1.2,0,0,0,0,0,0,chr3,55122662,55123439
brinp1,680,613,1380,378,307,206,chr5,71252868,71460556
pigu,12,4,60,32,0,0,chr6,50714358,50730749
gria2a,895,645,1364,287,144,162,chr1_KZ115746v1_alt|chr1|chr1_KZ115014v1_alt,213065|21333539|220314,289388|21409878|296659
syngr3b,3796,3926,3436,2030,2552,2443,chr1,8415983,8428760
syngr3a,1404,841,1339,928,208,518,chr3,40170216,40180186
gria2b,6655,5058,8860,4883,2076,2264,chr14,35748385,35812822
map2k4b,2106,1816,2778,1245,576,857,chr12,281166,287432
si:ch211-214j8.1,0,0,0,0,0,0,chr5,26248380,26261125
tmc2b,0,0,58,57,16,23,chr5,25624600,25645633
pbxip1b,16231,11186,13695,19307,8932,10355,chr16,22750174,22775501
cryl1,17,9,5,63,0,44,chr9_KZ115286v1_alt|chr9,249364|21383672,265327|21399635
carm1,580,580,660,377,216,152,chr3,34149332,34170836
tmed1a,4,0,12,33,0,0,chr3,47224478,47235606
nup43,1044,778,1017,894,572,525,chr20,1316733,1327859
sap18,1802,1613,1917,1156,1034,949,chr9,21266684,21268601
lama4,2620,2069,2892,3172,1195,1649,chr20,218886,259965
dvl3a,888,834,921,708,481,479,chr2,9702055,9744083
sc:d0284,2,0,0,0,0,0,chr1,56815556,57102015
arhgef7b,1710,1571,2879,1911,809,679,chr1,45958906,46020725
ttc4,147,349,283,23,34,87,chr6,30676996,30683665
arhgef7a,526,618,892,811,211,302,chr9,21535885,21566673
ttc1,650,459,700,359,218,249,chr21,30007566,30019626
zgc:112496,47,42,80,135,67,67,chr24,37631793,37640655
socs1b,11,2,0,3,0,0,chr1_KZ114998v1_alt|chr1,71534|8962853,72165|8963484
chtopa,7906,9651,10655,6755,3729,4683,chr19,23897666,23918119
chtopb,17,4,16,36,8,44,chr16,28881294,28887159
slain2,507,334,653,375,146,101,chr20,23447817,23472319
sqor,774,433,906,1345,629,771,chr25,32473438,32495363
tmem229b,613,546,510,516,367,404,chr17,37645633,37649820
gfm1,1387,1710,2020,1115,957,824,chr15,1167119,1194750
or128-6,0,0,0,0,0,0,chr15,5211785,5212702
or128-7,0,0,0,0,0,0,chr15,5206671,5207588
or128-4,0,0,0,0,0,0,chr15,5221680,5222597
cmc2,59,127,112,277,36,195,chr18,29888958,29898369
or128-2,0,0,0,0,0,0,chr15,5238267,5239184
cmc4,0,0,18,0,0,8,chr21,44557006,44557518
or128-1,0,0,0,0,0,0,chr15,5244431,5245726
sec13,239,222,391,239,174,175,chr22|chr22_KZ114982v1_alt|chr22_KZ115658v1_alt,31059975|42850|359219,31083488|66363|382732
srek1ip1,230,342,252,235,168,494,chr10,11394528,11397559
pkd2,40,116,65,24,0,12,chr1,50538839,50557028
dupd1,0,0,0,0,0,0,chrUn_KN150355v1,1628,2872
stag1a,2671,1653,2252,1863,704,1345,chr2,25019390,25109060
he1.2,0,0,0,0,0,0,chr22,14098028,14099401
npy4r,0,7,2,15,18,0,chr17|chr17_KZ115519v1_alt,20639276|198244,20640409|199377
lmbr1l,52,5,28,43,0,20,chr23,27703758,27727499
triap1,433,199,325,207,96,277,chr10,1681491,1684943
zgc:158701,0,0,0,0,0,0,chr16_KZ115492v1_alt,106944,112458
mkks,350,220,208,271,44,211,chr13,35472803,35481843
tmed10,1443,1210,1190,22,127,1078,chr20|chr20_KZ115614v1_alt,46536598|258090,46541843|263335
zgc:112146,0,0,0,0,0,0,chr3,49074008,49079320
rps3,38890,27180,38246,45923,31963,28908,chr18,3038173,3049798
atad3,1784,3962,2626,2385,1480,1525,chr22,2008,7139
trmt112,80,33,43,52,40,33,chr14_KZ115429v1_alt|chr14,160483|8806422,168578|8814517
zgc:112148,83,116,258,109,60,216,chr3,56861113,56871330
tnnt2d,14,52,70,471,0,22,chr25,20215983,20226584
ephb3b,210,41,110,180,40,13,chr22,35930526,35942446
slc48a1a,62,9,68,56,0,0,chr23,33357740,33361425
anos1b,195,49,164,107,20,97,chr22,38824033,38913871
anos1a,826,1041,879,401,468,518,chr1,31943017,31979539
si:dkey-86e18.1,366,334,436,190,197,179,chr20,15565926,15578416
atpv0e2,2863,2660,4100,2061,1279,1618,chr22,34701830,34707463
klhdc4,99,130,123,74,4,70,chr25|chr25_KZ115727v1_alt,12707522|16825,12730260|39563
klhdc2,2286,2808,2603,2052,1558,1535,chr17,135218,141470
mhc1zha,63,27,42,27,0,0,chr1,47157574,47161897
kdelr2b,1089,794,958,767,267,402,chr12,982858,990058
zgc:165653,240,149,238,124,0,115,chr12,48634927,48656276
pfkfb2a,196,57,143,56,0,33,chr23,42765700,42810664
zgc:165656,127,175,265,184,62,93,chr1,51615662,51651616
si:busm1-163l24.4,2,0,0,0,0,0,chr3_KZ115064v1_alt|chr3,447890|19979999,448726|19980835
pgpep1,372,283,689,409,145,153,chr2,56139972,56158711
zgc:112001,577,420,648,491,201,495,chr20,88168,90253
si:ch211-154a22.8,0,0,0,0,0,0,chr22_KZ114978v1_alt,357204,358401
ccl44,580,684,773,395,468,380,chr11,6183017,6188393
zgc:64106,13,12,35,20,0,0,chr21,11984805,11996438
col5a3b,250,449,440,466,274,206,chr1,59252435,59287410
ube4b,3635,2486,4209,3189,1584,1567,chr23,29507315,29553712
col5a3a,145,84,29,127,120,130,chr3,53773256,53919463
rasl11b,1443,1151,1317,836,346,436,chr20,23022985,23026223
rasl11a,31,0,26,7,4,0,chr7,51315634,51320765
nup160,1827,1865,2688,1295,531,501,chr25,34678953,34723937
zgc:162928,934,340,926,458,166,283,chr24,19210260,19388584
pex19,922,626,916,602,246,370,chr2,37140468,37146151
scn1lab,6176,5337,10621,2727,457,898,chr6,10248332,10305971
scn1laa,0,0,0,16,0,0,chr9,49906251,49978335
pctp,32,39,30,32,0,5,chr3,10407421,10424819
angptl3,132,66,250,144,60,21,chr6,32344673,32349151
fut8a,3875,3242,4577,3164,1138,2110,chr17,33719384,33906488
ecrg4a,137,49,65,162,0,18,chr9,6371921,6380653
arr3b,7,0,9,0,0,0,chr14,32838163,32849528
pex10,98,68,98,106,76,14,chr8,47319806,47329648
pex13,438,224,400,255,96,115,chr17,23926796,23935447
pex12,734,804,776,983,464,688,chr5,61583655,61588999
cwc15,2676,2806,2455,2209,1752,1715,chr5,23576166,23583446
pex16,264,151,391,127,147,102,chr18,44913422,44935118
paox1,158,223,150,249,53,129,chr8,15239549,15250265
rev1,1230,1296,1931,1224,232,635,chr9,21795917,21816234
