"gene_id","F1_1_1","F1_2_1","F1_3_1","F4_2_1","F4_3","F4_6_1","F5_1_1","F5_2_1","F5_3_1","M1_1","M1_4_1","M1_7","M4_12","M4_6_1","M4_9","anno_chr","anno_start","anno_end"
"srd5a2a",48,0,38,104,13,60,54,18,15,41,18,16,0,25,0,"chr1","51066783","51073109"
"kif2c",8,24,58,45,16,0,12,0,21,93,80,75,0,40,0,"chr2","33926960","33949972"
"wdr83os",1177,719,749,1016,1691,1583,858,386,650,1023,1264,1173,1250,870,847,"chr11","30744394","30747835"
"znhit3",84,56,78,216,147,120,106,85,87,161,121,95,0,0,183,"chr5","3927989","3937714"
"kpna7",66,98,63,39,97,107,48,38,65,50,78,70,351,28,175,"chr10","25214281","25217347"
"znhit1",474,207,496,649,597,618,460,323,374,780,818,794,596,436,1119,"chr5","38604880","38611407"
"zcrb1",392,321,425,989,615,883,323,180,308,504,561,495,307,445,874,"chr4","13925287","13931515"
"mapre1a",243,201,406,169,308,496,404,155,188,326,372,222,707,365,324,"chr8","23381955","23388641"
"ca2",1233,1185,1404,1132,1251,810,711,747,634,2670,3201,2077,657,475,991,"chr24","32646779","32664669"
"mapre1b",2376,1567,2826,1957,3262,2115,1709,558,1412,6706,6700,4708,1898,1313,2527,"chr23","9794679","9807526"
"ca7",9,0,2,23,4,0,16,11,6,10,6,0,0,0,0,"chr7_KZ115244v1_alt|chr7","68551|44802457","79855|44813761"
"foxa3",16,0,0,0,27,0,20,48,4,40,17,13,0,0,37,"chr18","46350574","46354010"
"foxa2",7,0,17,25,64,65,23,29,0,8,48,44,0,0,12,"chr17","42565998","42568438"
"dnm1a",1652,932,1931,2199,1805,2886,1087,299,635,8379,9855,6240,4414,1907,5498,"chr5","1278092","1421088"
"c4b",163,61,186,59,41,174,193,79,112,151,154,55,224,40,9,"chr16","16665203","16701780"
"zgc:162895",288,227,353,438,457,926,202,111,117,194,417,340,750,645,481,"chrUn_KN150170v1","10766","13535"
"cpox",419,309,337,827,678,859,540,198,191,979,1302,1005,648,521,1249,"chr8","18601704","18613987"
"tctex1d1",0,0,0,0,4,0,0,0,0,40,0,4,0,0,0,"chr2","14208159","14272080"
"si:ch211-132b12.6",0,0,9,0,0,0,0,8,0,17,0,0,0,0,0,"chr18","40643660","40660847"
"kpna2",177,79,125,375,175,564,157,107,105,399,367,410,193,231,404,"chr3","25369981","25377017"
"icn2",0,0,0,111,0,0,835,0,0,0,0,2,0,0,0,"chr16","23487047","23491094"
"rab33ba",84,40,32,0,64,73,37,96,23,185,173,193,124,0,46,"chr14","46177521","46184097"
"sult1st1",33,24,26,28,14,32,37,4,4,65,81,26,0,16,0,"chr8","46499097","46508857"
"sult1st2",0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,"chr8","46513199","46524972"
"khsrp",2432,1601,2316,3587,3463,5023,2217,911,1660,5905,5799,5231,5408,3177,5455,"chr1","54960186","54972236"
"sult1st4",5,0,24,34,0,0,0,0,0,8,19,0,0,0,0,"chr8","53171019","53179605"
"niban2b",12,24,2,40,3,81,47,2,12,39,114,35,0,0,52,"chr5_KZ115117v1_alt|chr5","740|28917841","53124|28970059"
"niban2a",166,108,323,499,310,64,149,29,49,439,583,296,137,37,202,"chr21","13799448","13856660"
"slc25a6",412,63,220,434,245,411,207,88,170,2426,1817,2205,296,264,1188,"chr9","34866555","34871996"
"tuba8l",864,418,553,1202,1028,1402,1148,408,304,1462,1357,1037,2138,1081,2440,"chr8","28345352","28349859"
"angpt2a",7,14,28,0,32,0,16,0,32,63,88,21,0,84,24,"chr13","6295175","6306886"
"pgam5",988,624,837,1710,1576,1734,800,324,308,2563,2552,2528,262,1104,1413,"chr5","18925318","18936235"
"zgc:86839",44,20,49,0,35,79,20,12,0,108,54,34,0,0,0,"chr21","3003753","3007412"
"tnni3k",143,15,200,81,279,0,38,60,43,729,282,142,173,40,299,"chr8","17958419","17980317"
"sting1",32,111,52,0,207,0,91,0,102,68,29,95,135,0,36,"chr14","7764681","7782628"
"rab41",3284,960,1122,3098,2274,3253,778,217,964,7659,3121,1672,1618,400,2972,"chr14","33280718","33297287"
"gdf10b",0,0,0,0,0,0,15,0,0,151,31,1,0,0,0,"chr13","1357552","1374927"
"crabp2b",0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,"chr19","8973042","8977404"
"prkag3b",12,0,0,0,0,0,9,20,0,48,0,0,0,0,0,"chr9","14090331","14108896"
"ap3m1",40,69,104,188,96,198,92,12,68,222,184,189,116,0,170,"chr13","25200105","25209070"
"ap3m2",1585,882,1644,1868,2042,2298,1064,428,597,5540,3569,3445,822,851,2215,"chr5","14375108","14390445"
"cat",2481,2173,2984,5656,4290,6438,1997,1328,863,6001,5163,4022,4510,3953,6826,"chr25","7492757","7502419"
"agmat",38,13,12,0,24,0,31,0,22,10,109,11,0,0,0,"chr23","37482727","37490251"
"ldb2a",27,49,93,0,150,28,5,53,65,446,371,323,0,79,267,"chr14","46684466","46832825"
"si:ch73-281f12.4",24,17,50,125,55,60,20,0,0,106,140,135,128,0,163,"chr3","58714900","58798377"
"ldb2b",130,0,79,0,56,0,70,0,90,458,309,259,0,0,135,"chr1","22805398","22834824"
"angel2",1403,1331,1661,3018,2203,3774,1148,982,708,2254,2477,2324,1916,2102,3033,"chr20","37920096","37933255"
"cad",3434,3718,4614,9234,5471,5459,1839,1301,1094,5711,7827,5222,3319,3699,6137,"chr20","38788319","38827638"
"zgc:162324",12,12,28,33,16,12,5,0,12,6,0,0,0,0,0,"chr6_KZ114887v1_alt|chr6","118665|46259950","167812|46309060"
"ogfod2",200,226,153,313,196,105,204,189,87,146,82,115,174,137,126,"chr5_KZ114861v1_alt|chr5","281491|28041963","287239|28047711"
"mysm1",1427,1518,1430,2566,1204,2447,941,550,654,2249,2506,1954,1179,1182,1688,"chr20","9096195","9123046"
"zgc:194252",21,0,66,108,21,0,40,0,22,38,18,10,0,32,0,"chr7","18989241","18990075"
"reps1",373,271,536,491,438,753,269,70,243,1228,1690,1147,419,352,1038,"chr20","39223251","39256276"
"nrg1",363,296,435,218,358,749,239,276,229,949,1030,1157,511,496,1441,"chr10","7284121","7472359"
"spega",530,1165,1821,1131,986,1110,975,330,576,2473,2728,469,1349,172,1630,"chr6_KZ115170v1_alt","330684","397719"
"tmem198b",1582,1054,1891,2500,1991,5060,1401,517,577,4099,4681,4417,2758,1993,3654,"chr6","13806715","13869328"
"zgc:194906",9,4,8,0,14,0,3,0,15,12,7,64,0,20,20,"chr1","58442694","58450972"
"gh1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr3","22327741","22332913"
"zgc:172271",477,337,695,1234,534,1472,381,242,140,347,387,443,123,258,225,"chr6","40884615","40899618"
"zgc:172270",0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,"chr11_KZ115362v1_alt","201577","207253"
"dnaja3b",951,1090,1333,1355,2312,1487,536,527,482,995,1181,1224,256,759,765,"chr22","25931837","25943267"
"slx4ip",1589,56,103,124,88,1273,507,299,21,32,430,40,0,445,117,"chr13","35391609","35472531"
"dnaja3a",1211,757,1241,2260,1830,2516,744,479,481,2889,3908,2855,1971,850,1972,"chr3","11926070","11947672"
"LOC100148115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr7|chr7_KZ114893v1_alt","52093291|30772","52096498|33979"
"caspb",36,16,51,35,0,0,32,8,9,87,82,91,123,0,0,"chr1","58050911","58064721"
"arglu1b",6739,10029,12650,11442,9593,13925,5638,2387,3884,15973,13298,12901,8490,7931,11498,"chr1","7662091","7673376"
"ube2q1",1636,2319,1878,4046,2337,4046,2217,1072,1843,3353,3872,3137,2786,2041,4765,"chr18","50600989","50614249"
"mmp13a",0,0,5,0,0,0,0,0,0,32,8,5,0,0,0,"chr10","38593657","38619868"
"ube2q2",3127,1927,3533,2995,5620,3220,2261,638,1367,9907,7508,3251,1157,1170,2184,"chr25","29427852","29463878"
"lipt2",146,108,96,76,133,447,47,0,0,147,478,304,0,275,346,"chr15","4957784","4967302"
"lipt1",108,38,112,129,173,171,84,52,28,200,148,80,0,52,28,"chr1","45922699","45924004"
"tpd52",10,0,38,423,114,19,51,23,0,101,143,114,549,127,0,"chr19_KZ115590v1_alt|chr19","53832|31904912","89453|31939030"
"sp1",960,1065,1268,4541,2443,5319,887,428,575,1351,1472,1670,2181,2581,2733,"chr11","19668","27941"
"sp2",260,233,317,327,407,510,271,111,184,663,665,570,337,221,577,"chr11_KZ115340v1_alt|chr11|chr11_KZ114920v1_alt","92088|11983465|92088","116466|12007843|116466"
"caspa",32,31,0,0,10,0,63,17,0,12,45,16,0,0,0,"chr16","41993556","42004481"
"sp4",1222,727,1163,2195,1885,3899,668,248,356,2465,2583,2385,2539,2840,3396,"chr19","2547215","2560628"
"sp6",4,46,18,112,67,79,7,0,14,74,53,38,227,75,69,"chr1|chr1_KZ115040v1_alt","59538755|142097","59539896|143238"
"sp7",4,0,9,0,53,0,16,0,0,19,17,4,0,0,0,"chr6","58622831","58674160"
"cltcb",11750,8309,12397,17692,15563,20102,8434,3946,5721,32313,30100,25188,15516,12341,22076,"chr15","17285989","17340197"
"tmtops3b",289,15,485,112,556,46,157,8,13,185,235,787,0,47,96,"chr10","26689262","26692712"
"sfrp1a",20,37,0,19,100,50,36,0,15,48,92,50,0,116,80,"chr5","27525519","27538745"
"sfrp1b",36,36,4,45,94,59,0,0,16,188,128,100,80,84,152,"chr10|chr10_KZ114912v1_alt","20351413|260627","20356949|266163"
"oprl1",738,633,494,479,1446,517,577,305,354,2713,2480,2543,1002,1783,3281,"chr23","8284792","8373676"
"stmp1",456,404,390,732,524,621,217,356,127,859,594,450,0,458,345,"chr4","16784552","16786244"
"krt18a.1",182,142,158,381,229,307,344,83,70,221,228,241,249,195,478,"chr23|chr23_KZ115665v1_alt","10347856|255631","10351752|259527"
"optn",285,57,215,135,157,229,109,77,124,507,407,337,61,101,263,"chr4_KZ115086v1_alt|chr4","115128|8016457","125451|8027183"
"plppr1",1578,1268,1856,2189,1662,1747,857,655,699,3190,3168,3154,2223,1749,1377,"chr10","4240814","4264023"
"ikbip",65,0,17,208,98,173,84,0,14,49,153,142,0,200,266,"chr4","77966114","77968285"
"mogat3b",63,40,97,200,231,108,27,90,35,246,224,83,0,112,168,"chr5","38596605","38604883"
"slc38a3a",52,34,50,0,4,83,11,0,31,144,119,101,0,0,0,"chr11","34824355","34878154"
"col22a1",6,10,3,0,4,0,17,0,0,29,29,48,0,0,156,"chrUn_KN150214v1","31530","144340"
"LOC107980443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr7","3597426","3607153"
"flj11011l",112,23,68,0,99,139,80,0,50,207,255,130,81,0,53,"chr24","12989727","13015119"
"rnft1",79,81,63,116,92,62,91,58,45,101,118,125,296,33,16,"chr10_KZ115325v1_alt|chr10","284506|28160265","293405|28169164"
"zgc:158320",421,591,412,1745,931,1661,281,322,223,526,724,715,1127,1092,1368,"chr9","354868","356501"
"LOC101883187",4,0,23,0,32,0,39,0,0,12,63,16,0,0,24,"chr4","73215536","73225536"
"zgc:158328",14,20,15,57,112,0,33,4,15,68,172,40,0,0,0,"chr15","35253371","35345468"
"nt5c1ba",372,316,330,352,419,414,144,103,127,656,643,511,169,273,370,"chr13","32446169","32453932"
"ccdc65",7,33,5,207,0,70,13,52,4,38,5,10,436,0,132,"chr6|chr6_KZ115162v1_alt","7421898|206732","7427512|212346"
"gfi1aa",65,17,17,193,147,48,34,7,0,0,54,0,0,7,166,"chr2","10766744","10785640"
"gfi1ab",50,8,10,18,29,0,53,0,0,8,5,4,0,36,84,"chr6_KZ115183v1_alt","407820","411113"
"si:dkey-239i20.4",6,52,17,17,28,54,0,0,7,130,94,76,0,60,59,"chr20|chr20_KZ115602v1_alt","15114953|69436","15132151|86635"
"ccdc61",1573,1304,1652,3329,1888,3412,1142,477,675,1478,2141,1620,935,1753,1873,"chr21","21263988","21277833"
"ogdha",5005,3588,6649,6671,5812,9071,2786,1157,1406,15955,13198,11911,6583,3297,9285,"chr8","45763454","45838481"
"ccdc62",233,539,340,879,680,1864,264,186,206,259,374,403,619,763,935,"chr10","44465152","44467386"
"nfat5a",204,108,238,177,155,123,32,28,32,621,606,446,283,136,196,"chr25","37094476","37121337"
"slc2a15b",12,55,5,0,33,79,14,0,48,76,12,31,32,80,0,"chr1","31573245","31598417"
"slc2a15a",0,0,0,0,0,44,0,0,0,0,18,4,0,0,0,"chr13","28417306","28442086"
"npas2",1,0,115,8,4,0,0,0,56,14,23,27,0,0,0,"chr5_KZ115111v1_alt|chr5","28371|22791731","67264|22830624"
"cybb",1908,1372,2522,3957,2546,2990,782,914,820,1976,4431,2490,439,616,2527,"chr11","29795155","29816427"
"rasgef1bb",96,70,21,149,238,219,30,22,32,310,341,169,0,42,207,"chr10_KZ115306v1_alt","216125","241244"
"mtfp1",623,616,713,2049,1556,1701,414,448,408,1354,1842,1790,1723,1371,2443,"chr5","72375135","72377108"
"prune2",5,2,9,0,3,207,0,4,2,17,0,7,189,26,0,"chr5_KZ115149v1_alt|chr5","239980|55374425","261510|55395955"
"tktb",4270,3166,4424,9325,7998,11302,3420,1506,1681,11209,12407,11278,9148,6523,11701,"chr23","20113378","20126247"
"ifi27.8",195,423,484,1776,956,1868,546,791,321,937,1201,794,1559,1177,1373,"chr13","37650670","37653840"
"ncaph",90,0,16,181,52,0,16,9,60,40,11,126,120,0,120,"chr5_KZ115115v1_alt","129020","140212"
"ifi27.6",24,89,155,1039,131,719,518,176,125,239,404,91,705,361,1471,"chr13","37638770","37642897"
"myh6",33,24,21,17,0,20,9,0,23,35,40,47,0,25,0,"chr20","53577503","53583433"
"ifi27.4",131,90,111,96,25,946,165,171,6,530,262,49,0,626,913,"chr13","37623278","37630927"
"ifi27.2",14,111,457,603,45,2826,658,393,55,899,455,248,327,821,2451,"chr13","37617516","37620290"
"ifi27.3",0,26,30,89,0,110,123,0,16,15,26,0,0,105,160,"chr13","37609458","37615026"
"ifi27.1",60,800,1713,2332,273,10086,2214,1819,234,2675,1691,682,1014,3791,10367,"chr13","37605891","37608446"
"hspa13",278,306,371,645,674,1076,333,146,251,1026,845,1012,431,664,730,"chr15","29549115","29556698"
"irg1l",0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,"chr14","11427052","11430555"
"hspa14",65,21,23,75,95,78,22,24,44,15,129,65,0,58,76,"chr4|chr4_KZ114855v1_alt","9592486|16448","9601683|25645"
"si:dkey-211g8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr19","10536093","10537982"
"zgc:109965",8,56,12,0,44,79,37,28,17,16,12,4,0,0,0,"chr21","13066708","13085239"
"osr1",165,52,104,68,96,100,223,37,136,349,498,214,109,159,350,"chr13","32144370","32150443"
"osr2",301,170,175,953,419,933,276,162,241,288,169,118,159,1771,1027,"chr16","54402310","54405976"
"si:dkey-211g8.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr19","10624644","10627753"
"ifnphi1",21,0,0,0,9,0,87,0,0,12,20,0,0,0,8,"chr3","22362770","22366062"
"zfand6",431,335,446,392,492,670,289,162,237,666,506,470,341,216,633,"chr7","10562118","10583144"
"ifnphi3",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr3","22345582","22347936"
"ifnphi2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr3","22352552","22356568"
"zfand3",4093,2683,3751,6041,5729,6398,3032,985,2339,6813,7765,6821,8189,5532,9547,"chr13","44702278","44738551"
"ifnphi4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr12_KZ115366v1_alt|chr12","93849|4911907","98929|4916969"
"zfand1",48,38,39,60,20,17,30,13,6,33,41,6,564,280,9,"chr24|chr24_KZ115702v1_alt","11083160|19728","11087180|23748"
"fgf1b",0,5,24,0,0,0,0,13,8,12,12,0,0,0,0,"chr21","44112915","44116242"
"naxe",1064,675,1059,2341,1489,3510,828,640,461,1614,1862,1756,1667,1417,2328,"chr19","7408275","7412647"
"cyp2n13",326,551,332,123,81,239,89,79,122,296,239,247,0,136,16,"chr20","25515259","25522781"
"zgc:174237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr10","8045364","8053342"
"zgc:174890",868,984,404,1635,581,348,1016,596,829,1044,480,827,879,539,1121,"chr1","58621003","58625610"
"b3gnt7l",378,408,377,404,235,663,534,226,283,462,284,359,435,120,324,"chr8","22289330","22290886"
"zgc:174895",7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"chr15|chr15_KZ115477v1_alt","15456896|27860","15460133|31097"
"sh3rf1",498,528,718,820,1157,1296,425,231,197,1492,2278,1510,1420,483,1850,"chr20","23742574","23836967"
"terb2",0,0,0,16,0,0,0,13,0,4,0,5,0,25,0,"chr7","30929693","30932099"
"tuba2",8615,6273,9604,9987,11879,11343,5849,3577,3771,21792,20555,19215,7145,5407,14414,"chr11","3336525","3343463"
"ccdc6a",1196,1048,1153,1088,1100,707,1011,489,771,1577,1714,1272,350,677,876,"chr17_KZ115520v1_alt|chr17","15594|20673965","37527|20695898"
"pard3ba",165,171,144,514,289,521,215,236,218,228,335,178,515,462,779,"chr1","5798548","6028876"
"tyw5",134,129,105,87,147,157,121,48,113,139,151,108,254,20,53,"chr9|chr9_KZ115290v1_alt","24116275|229633","24120627|233985"
"st6galnac4",24,5,180,17,48,190,18,0,20,251,259,210,0,149,228,"chr21","3840955","3853204"
"st6galnac3",567,116,318,1458,877,524,58,21,60,535,985,1039,152,76,791,"chr2","9330148","9489540"
"st6galnac2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chrUn_KN149895v1","50918","59774"
"gig2d",10,9,0,14,0,37,0,0,0,21,5,0,0,0,0,"chr21|chr21_KZ115628v1_alt","22692633|115349","22693730|116446"
"st3gal2",229,88,188,316,329,497,117,40,63,1428,934,1156,128,263,853,"chr18","18612388","18631082"
"gig2f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr21_KZ115628v1_alt|chr21","102501|22679785","104250|22681534"
"spats2",1400,2307,1643,6264,3124,9356,1815,1358,585,2072,3835,3064,6492,4303,9415,"chrUn_KN149997v1","4420","6296"
"st3gal7",0,5,0,0,0,0,165,0,0,0,0,3,0,0,0,"chr13","40717156","40726865"
"b3galnt2",1374,771,1016,2792,2611,3955,928,776,462,1588,2598,1851,2899,1943,3742,"chr13","49774800","49819115"
"tollip",3265,2659,3026,8677,4437,7906,2407,1336,1583,5316,5309,5438,5265,5438,7682,"chr7","72276507","72290606"
"st3gal4",347,160,392,384,509,405,500,74,215,901,963,562,98,223,567,"chr18","48694580","48745197"
"gig2l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr21_KZ115628v1_alt|chr21","70010|22647294","70723|22648007"
"plk3",1135,1555,1940,2185,1816,1880,1198,259,678,3998,3877,2223,1200,630,1938,"chr2","35603654","35611789"
"gig2o",24,68,56,33,42,348,133,88,36,128,92,32,342,160,475,"chr5","30381929","30382925"
"gig2h",4,0,0,17,0,0,4,0,0,14,13,0,0,0,60,"chr21_KZ115628v1_alt|chr21","97747|22675031","99039|22676323"
"gig2i",13,4,20,75,4,70,13,0,0,15,0,2,0,0,20,"chr21_KZ115628v1_alt|chr21","95510|22672794","96474|22673758"
"gig2j",12,10,21,7,22,0,23,18,0,8,12,0,88,16,14,"chr21_KZ115628v1_alt|chr21","91831|22669115","92385|22669669"
"gig2k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr21_KZ115628v1_alt|chr21","75580|22652864","87270|22664554"
"hspa1b",92,84,58,27,270,156,72,55,97,251,272,180,132,83,204,"chr8","24968098","24970790"
"ints3",2899,3715,4284,9060,6166,10387,2914,2002,2261,4899,5355,4660,8716,6605,6672,"chr19","26640097","26673869"
"capn2b",0,24,52,185,207,327,99,0,5,98,85,40,215,41,21,"chr22","26328063","26353916"
"prkacba",4,0,8,0,0,0,4,0,0,12,4,0,64,0,0,"chr11","8129777","8150894"
"prkacbb",101,38,175,46,115,159,121,36,32,943,615,426,0,56,323,"chr2","1597734","1622651"
"capn2a",14,0,8,0,0,16,48,0,0,4,24,76,0,51,45,"chr13","42728570","42756566"
"capn2l",8,0,12,0,0,49,0,0,0,0,0,0,0,0,0,"chr22","26443216","26476095"
"tyw3",210,72,205,77,201,204,188,92,256,196,324,204,0,211,326,"chr2","11119387","11126216"
"atp6v0a1b",2434,1319,2585,2044,3448,4067,1563,486,614,17524,11407,11170,3482,1472,5533,"chr24","7596020","7632103"
"atp6v0a1a",134,143,319,231,205,183,179,40,70,764,592,291,128,98,179,"chr3","16922277","16973124"
"si:ch211-114n24.6",2712,2156,2655,7508,4510,2910,2428,1868,685,1112,5003,3941,11975,1516,3141,"chr6","6989029","6993056"
"rbb4l",2571,2402,2828,3793,3133,4400,2228,614,865,3391,3602,3140,2700,1966,3644,"chr11","12744644","12768624"
"slc8a2a",272,397,131,265,409,173,631,212,416,612,191,787,852,367,814,"chr5_KZ115132v1_alt|chr5","111752|36870737","134367|36893352"
"arg1",0,0,9,84,0,77,0,27,2,0,4,0,0,0,123,"chr12|chr12_KZ115368v1_alt","9597151|331046","9617770|351665"
"arg2",3430,2849,4094,4845,3950,2860,1282,1274,1028,11608,11435,10198,2637,2071,5324,"chr13","33024547","33034261"
"rbfa",142,266,228,76,209,178,293,111,544,311,179,234,0,262,124,"chr16","25364313","25368048"
"anapc16",1552,1452,1453,3636,2699,4138,1154,947,826,1819,2423,2410,3340,2853,4496,"chr12","48319221","48327595"
"pak4",238,127,195,213,199,338,160,45,50,640,612,492,188,47,577,"chr15","25452092","25486421"
"pdk4",32,30,61,0,59,44,15,39,53,251,163,115,0,36,0,"chr19","41190258","41213718"
"zgc:174928",803,612,911,1026,820,1110,1255,388,888,853,1017,886,1191,617,856,"chr1","58608962","58613330"
"ankrd52a",2,11,10,18,12,36,2,64,2,35,20,20,232,15,6,"chr23|chr23_KZ115698v1_alt","32362091|327941","32390710|356561"
"si:dkey-67c22.2",1833,1662,1626,1923,1477,2610,1641,1033,1989,3468,3313,3049,2511,1482,2201,"chr9","35832294","35842375"
"psmb13a",40,0,48,0,100,172,361,76,106,259,163,65,57,0,155,"chr19","7111779","7115194"
"smarcal1",601,442,458,1056,633,2474,2312,2074,459,1883,1564,2033,2282,5269,4681,"chr9","52442922","52490579"
"pak7",2494,2013,2894,3745,2879,3592,1829,1688,1643,3873,4760,3883,4208,3018,5418,"chr20","54698535","54744600"
"dlg4b",1464,622,1895,2283,3191,2826,644,362,377,7581,8509,6447,3723,1631,5382,"chr23","44263986","44333064"
"htatip2",1729,2357,2478,4320,4686,2724,2763,1008,1337,2058,3781,2174,383,801,890,"chr7","17096281","17103176"
"cdk5r1a",272,50,237,56,328,192,157,112,24,1297,1229,945,172,69,582,"chr3","34821327","34822320"
"lamb1b",437,456,807,1064,1042,1447,690,369,378,784,823,788,844,994,1479,"chr4","25704579","25751361"
"ctnnbl1",1177,1282,1375,2678,2145,2613,1002,892,769,2419,2728,2143,1698,1153,2460,"chr2","53720028","53815533"
"crygs4",0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,"chr9","22359957","22360742"
"LOC100002237",12,11,18,0,10,28,9,0,0,28,115,24,0,0,61,"chr5_KZ115125v1_alt","315715","361744"
"crygs1",0,0,0,0,12,0,4,0,0,0,5,0,0,0,33,"chr22","11710514","11714101"
"crygs2",40,42,58,67,99,48,42,19,35,35,40,52,0,126,0,"chr9|chr9_KZ114907v1_alt","27733600|401141","27738110|405685"
"crygs3",24,0,0,59,15,0,0,0,0,14,0,0,0,0,0,"chr9","22365105","22366242"
"ocrl",125,100,108,120,153,84,57,21,41,347,248,207,80,109,47,"chr14_KZ114941v1_alt|chr14_KZ115455v1_alt|chr14","4013|4013|33826123","36094|36094|33858204"
"si:ch73-41h24.1",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,"chr7","18993828","19003504"
"smfn",408,427,451,897,855,711,322,137,236,1136,924,1018,449,271,763,"chr10","39893447","39905253"
"myhz1.1",854,1192,364,915,691,2364,552,517,614,390,567,715,1392,3037,1393,"chr5","32298624","32309131"
"myhz1.2",126,108,0,93,155,184,53,58,29,42,100,95,180,379,201,"chr5","32281815","32292965"
"chmp4bb",910,698,828,1178,1560,1085,1109,375,441,2370,2407,1713,833,751,1454,"chr8","45361775","45375108"
"arpc3",3848,3174,3789,5984,5091,5504,2844,2063,2050,5865,6068,5504,3158,2498,3753,"chr21","17024002","17029464"
"arpc2",4455,3714,4041,9877,8597,11063,3475,2304,1867,10008,9545,9074,7550,6963,11950,"chr9","48043162","48077034"
"sgtb",2371,1668,2475,3788,3377,4509,1427,1086,1201,6274,6249,4698,3316,2059,5117,"chr10","15381972","15405564"
"cdc25d",257,132,194,618,488,451,99,233,135,237,126,175,235,228,216,"chr1","54721246","54735376"
"sgta",1662,1286,1928,2526,2368,2777,1526,794,994,2875,3255,2787,1285,1614,2838,"chr11","14771906","14813018"
"elf1",78,92,106,221,247,322,243,62,33,238,315,213,279,69,575,"chr14","40745834","40797117"
"ilvbl",633,366,635,680,804,1354,560,34,143,969,1316,856,1025,334,1354,"chr18","44768971","44791891"
"itpr3",35,40,46,0,43,43,6,11,30,25,46,31,28,93,38,"chr8_KZ115258v1_alt|chr8","4868|21254192","103711|21353035"
"zgc:113135",0,0,4,0,0,0,0,0,0,5,0,19,0,0,0,"chr4","33461796","33812767"
"kcnq1.1",0,0,0,40,28,0,0,0,0,27,36,3,0,0,0,"chr7","48555842","48657229"
"wnt8-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr14","34490445","34497724"
"ndr1",0,0,0,41,27,0,0,0,2,0,0,0,0,0,29,"chr21_KZ115626v1_alt","185595","187773"
"ndr2",62,34,10,271,49,232,28,0,28,60,78,95,0,184,332,"chr12","48204979","48212734"
"rad23aa",642,389,566,1186,902,1390,334,176,277,1873,2002,1509,1221,717,1774,"chr1","52111025","52128425"
"knstrn",10,18,24,37,0,41,20,0,6,50,39,45,0,41,113,"chr1","11107743","11117501"
"rad23ab",546,529,1086,1090,1234,2113,524,94,92,2501,2554,2064,1445,1310,1862,"chr22","4747249","4760187"
"znf1156",116,36,138,190,99,38,58,115,9,171,77,14,196,46,201,"chr22","1911335","1919598"
"znf1157",0,34,7,0,16,0,47,0,17,16,17,4,0,0,0,"chr22","2283380","2290659"
"si:dkey-26g8.5",0,3,0,7,57,16,4,0,9,24,29,35,0,0,0,"chr12","16919348","16923163"
"dhx34",1300,1203,1367,2757,1874,4865,881,698,799,1353,1738,1437,3021,2903,3219,"chr18","44567191","44590092"
"lim2.2",186,281,175,604,385,1164,369,318,92,478,572,505,1532,1230,1890,"chr22","3223519","3232392"
"sc:d156",0,0,12,20,2,0,21,0,0,0,0,0,0,0,0,"chr16","41162856","41169589"
"lim2.4",14,44,29,52,0,0,28,0,28,49,27,24,0,0,0,"chr19","10541773","10554244"
"lim2.5",8,0,0,0,8,0,9,0,0,0,20,0,0,0,0,"chr16","50166570","50180887"
"si:ch211-122l24.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr2","40184215","40191574"
"susd6",1537,386,1144,621,420,1628,381,93,125,4319,3051,3459,951,561,1550,"chr20","28888753","28931901"
"zgc:174704",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"chr4","50539255","50544485"
"susd4",2608,3384,3051,7092,4623,7030,1640,1615,1383,4055,5932,4256,5491,4569,5463,"chr17","45529857","45552059"
"cdc34b",933,757,931,1125,1321,1546,657,209,398,2490,2304,1971,962,876,1603,"chr2","49007592","49031811"
"si:ch211-148l7.4",75,36,72,204,81,57,88,28,44,208,149,96,141,49,213,"chr23","33947856","33956042"
